 Lat    Lon    Disp_x_East(cm)   Disp_y_North(cm)   DispUp(cm)
    13.182   -92.736   -0.2   -0.3    0.1
    13.191   -92.736   -0.2   -0.3    0.1
    13.200   -92.736   -0.2   -0.3    0.1
    13.209   -92.736   -0.2   -0.3    0.1
    13.218   -92.736   -0.2   -0.3    0.1
    13.227   -92.736   -0.2   -0.3    0.1
    13.236   -92.736   -0.2   -0.3    0.1
    13.245   -92.736   -0.2   -0.3    0.1
    13.254   -92.736   -0.2   -0.3    0.1
    13.263   -92.736   -0.3   -0.3    0.1
    13.272   -92.736   -0.3   -0.3    0.1
    13.281   -92.736   -0.3   -0.3    0.2
    13.290   -92.736   -0.3   -0.2    0.2
    13.299   -92.736   -0.3   -0.2    0.2
    13.308   -92.736   -0.3   -0.2    0.2
    13.317   -92.736   -0.3   -0.2    0.2
    13.326   -92.736   -0.3   -0.2    0.2
    13.335   -92.736   -0.3   -0.2    0.2
    13.344   -92.736   -0.3   -0.2    0.2
    13.353   -92.736   -0.3   -0.2    0.2
    13.362   -92.736   -0.3   -0.2    0.2
    13.371   -92.736   -0.2   -0.2    0.2
    13.380   -92.736   -0.2   -0.1    0.2
    13.389   -92.736   -0.2   -0.1    0.2
    13.398   -92.736   -0.2   -0.1    0.1
    13.407   -92.736   -0.2   -0.1    0.1
    13.416   -92.736   -0.2   -0.1    0.1
    13.425   -92.736   -0.2   -0.1    0.1
    13.434   -92.736   -0.1   -0.1    0.1
    13.443   -92.736   -0.1   -0.1    0.1
    13.452   -92.736   -0.1   -0.1    0.1
    13.461   -92.736   -0.1   -0.1    0.1
    13.470   -92.736   -0.1   -0.0    0.1
    13.479   -92.736   -0.0   -0.0    0.0
    13.488   -92.736   -0.0   -0.0    0.0
    13.497   -92.736    0.0   -0.0    0.0
    13.506   -92.736    0.0   -0.0    0.0
    13.515   -92.736    0.0   -0.0    0.0
    13.524   -92.736    0.1   -0.0    0.0
    13.533   -92.736    0.1   -0.0   -0.0
    13.542   -92.736    0.1   -0.0   -0.0
    13.551   -92.736    0.1   -0.0   -0.0
    13.560   -92.736    0.1   -0.0   -0.0
    13.569   -92.736    0.1   -0.0   -0.0
    13.578   -92.736    0.1   -0.1   -0.0
    13.587   -92.736    0.1   -0.1   -0.0
    13.596   -92.736    0.1   -0.1   -0.0
    13.605   -92.736    0.1   -0.1   -0.0
    13.614   -92.736    0.1   -0.1   -0.0
    13.623   -92.736    0.1   -0.1   -0.0
    13.632   -92.736    0.1   -0.1   -0.0
    13.641   -92.736    0.1   -0.1   -0.0
    13.650   -92.736    0.1   -0.1   -0.0
    13.659   -92.736    0.1   -0.0   -0.0
    13.668   -92.736    0.1   -0.0   -0.0
    13.677   -92.736    0.1   -0.0    0.0
    13.686   -92.736    0.1   -0.0    0.0
    13.695   -92.736    0.1   -0.0    0.0
    13.703   -92.736    0.1   -0.0    0.0
    13.712   -92.736    0.1   -0.0    0.0
    13.721   -92.736    0.1   -0.0    0.0
    13.730   -92.736    0.1   -0.0    0.0
    13.739   -92.736    0.1   -0.0    0.0
    13.748   -92.736    0.1   -0.0    0.0
    13.757   -92.736    0.1   -0.0    0.0
    13.766   -92.736    0.0   -0.0    0.0
    13.775   -92.736    0.0    0.0    0.0
    13.784   -92.736    0.0    0.0    0.0
    13.793   -92.736    0.0    0.0    0.0
    13.802   -92.736    0.0    0.0    0.0
    13.811   -92.736    0.0    0.0    0.0
    13.820   -92.736    0.0    0.0    0.0
    13.829   -92.736    0.0    0.0    0.0
    13.838   -92.736    0.0    0.0    0.0
    13.847   -92.736    0.0    0.0    0.0
    13.856   -92.736    0.0    0.0    0.0
    13.865   -92.736    0.0    0.0    0.0
    13.874   -92.736    0.0    0.0    0.0
    13.883   -92.736    0.0    0.0    0.0
    13.892   -92.736    0.0    0.0    0.0
    13.901   -92.736    0.0    0.0    0.0
    13.910   -92.736    0.0    0.0    0.0
    13.919   -92.736    0.0    0.0    0.0
    13.928   -92.736    0.0    0.0    0.0
    13.937   -92.736    0.0    0.0    0.0
    13.946   -92.736    0.0    0.0    0.0
    13.955   -92.736    0.0    0.0    0.0
