 Lat    Lon    Disp_x_East(cm)   Disp_y_North(cm)   DispUp(cm)
   -27.119   -71.021   -0.0   -0.0   -0.0
   -27.110   -71.021   -0.0   -0.0   -0.0
   -27.101   -71.021   -0.0   -0.0   -0.0
   -27.092   -71.021   -0.0   -0.0   -0.0
   -27.083   -71.021   -0.0   -0.0   -0.0
   -27.074   -71.021    0.0   -0.0   -0.0
   -27.065   -71.021    0.0   -0.0   -0.0
   -27.056   -71.021    0.0   -0.0   -0.0
   -27.047   -71.021    0.0   -0.0   -0.0
   -27.039   -71.021    0.0   -0.0   -0.0
   -27.030   -71.021    0.0   -0.0   -0.0
   -27.021   -71.021    0.0   -0.0   -0.0
   -27.012   -71.021    0.0   -0.0   -0.0
   -27.003   -71.021    0.0   -0.0   -0.0
   -26.994   -71.021    0.0   -0.0   -0.0
   -26.985   -71.021    0.0   -0.0   -0.0
   -26.976   -71.021    0.0   -0.0   -0.0
   -26.967   -71.021    0.0   -0.0   -0.0
   -26.958   -71.021    0.0   -0.0   -0.0
   -26.949   -71.021    0.0   -0.0   -0.0
   -26.940   -71.021    0.0   -0.0   -0.0
   -26.931   -71.021    0.0   -0.0   -0.0
   -26.922   -71.021    0.0   -0.0   -0.0
   -26.913   -71.021    0.0    0.0   -0.1
   -26.904   -71.021    0.0    0.0   -0.1
   -26.895   -71.021    0.0    0.0   -0.1
   -26.886   -71.021    0.0    0.0   -0.1
   -26.877   -71.021    0.0    0.0   -0.1
   -26.868   -71.021    0.0    0.0   -0.1
   -26.859   -71.021    0.0    0.0   -0.1
   -26.850   -71.021    0.0    0.0   -0.1
   -26.841   -71.021    0.0    0.0   -0.1
   -26.832   -71.021    0.0    0.0   -0.1
   -26.823   -71.021    0.0    0.0   -0.1
   -26.814   -71.021    0.0    0.0   -0.1
   -26.805   -71.021    0.0    0.0   -0.1
   -26.796   -71.021    0.0    0.0   -0.1
   -26.787   -71.021    0.0    0.0   -0.1
   -26.778   -71.021    0.0    0.0   -0.1
   -26.769   -71.021    0.0    0.0   -0.1
   -26.760   -71.021    0.0   -0.0   -0.1
   -26.752   -71.021    0.0   -0.0   -0.1
   -26.743   -71.021    0.0   -0.0   -0.1
   -26.734   -71.021    0.0   -0.0   -0.1
   -26.725   -71.021    0.0   -0.0   -0.1
   -26.716   -71.021    0.0   -0.0   -0.1
   -26.707   -71.021    0.0   -0.0   -0.1
   -26.698   -71.021    0.0   -0.0   -0.1
   -26.689   -71.021    0.0   -0.0   -0.1
   -26.680   -71.021    0.0   -0.0   -0.1
   -26.671   -71.021    0.0   -0.0   -0.1
   -26.662   -71.021    0.0   -0.0   -0.1
   -26.653   -71.021    0.0   -0.0   -0.1
   -26.644   -71.021    0.0   -0.0   -0.1
   -26.635   -71.021    0.0   -0.0   -0.1
   -26.626   -71.021    0.0   -0.0   -0.1
   -26.617   -71.021    0.0   -0.0   -0.1
   -26.608   -71.021    0.0   -0.0   -0.1
   -26.599   -71.021    0.0   -0.0   -0.1
   -26.590   -71.021    0.0   -0.0   -0.1
   -26.581   -71.021    0.0   -0.0   -0.1
   -26.572   -71.021    0.0   -0.0   -0.1
   -26.563   -71.021    0.0   -0.0   -0.1
   -26.554   -71.021    0.0   -0.0   -0.1
   -26.545   -71.021    0.0   -0.0   -0.1
   -26.536   -71.021    0.0   -0.0   -0.1
   -26.527   -71.021    0.0   -0.0   -0.1
   -26.518   -71.021    0.0   -0.0   -0.1
   -26.509   -71.021    0.0   -0.0   -0.1
   -26.500   -71.021    0.0   -0.0   -0.1
   -26.491   -71.021    0.0   -0.0   -0.1
   -26.482   -71.021    0.0   -0.0   -0.1
   -26.473   -71.021    0.0   -0.0   -0.1
   -26.464   -71.021    0.0   -0.0   -0.1
   -26.456   -71.021    0.0   -0.0   -0.1
   -26.447   -71.021    0.0   -0.0   -0.1
   -26.438   -71.021    0.0   -0.0   -0.1
   -26.429   -71.021    0.0   -0.0   -0.1
   -26.420   -71.021    0.0   -0.0   -0.1
   -26.411   -71.021    0.0   -0.0   -0.1
   -26.402   -71.021    0.0   -0.0   -0.1
   -26.393   -71.021    0.0   -0.0   -0.1
   -26.384   -71.021    0.0   -0.0   -0.1
   -26.375   -71.021    0.0   -0.0   -0.1
   -26.366   -71.021    0.0   -0.0   -0.1
   -26.357   -71.021    0.0   -0.0   -0.1
   -26.348   -71.021    0.0   -0.0   -0.1
   -26.339   -71.021    0.0   -0.0   -0.1
   -26.330   -71.021    0.0   -0.0   -0.1
   -26.321   -71.021    0.0   -0.0   -0.1
   -26.312   -71.021    0.0   -0.0   -0.1
   -26.303   -71.021    0.0   -0.0   -0.1
   -26.294   -71.021    0.0   -0.0   -0.1
   -26.285   -71.021    0.0   -0.0   -0.1
   -26.276   -71.021    0.0   -0.0   -0.1
   -26.267   -71.021    0.0   -0.0   -0.1
   -26.258   -71.021    0.0   -0.0   -0.1
   -26.249   -71.021    0.0   -0.0   -0.1
   -26.240   -71.021    0.0   -0.0   -0.1
   -26.231   -71.021    0.0   -0.0   -0.1
   -26.222   -71.021    0.0   -0.0   -0.1
   -27.119   -71.011   -0.0   -0.0   -0.0
