 Lat    Lon    Disp_x_East(cm)   Disp_y_North(cm)   DispUp(cm)
    52.245  -169.910   -0.0   -0.0    0.0
    52.245  -169.910   -0.0   -0.0    0.0
    52.245  -169.910   -0.0   -0.0    0.0
    52.245  -169.910   -0.0   -0.0    0.0
    52.245  -169.910   -0.0   -0.0    0.0
    52.245  -169.910   -0.0   -0.0    0.0
    52.245  -169.910   -0.0   -0.0    0.0
    52.245  -169.910   -0.0   -0.0    0.0
    52.245  -169.910   -0.0   -0.0    0.0
    52.245  -169.910   -0.0   -0.0    0.0
    52.245  -169.910   -0.0   -0.0    0.0
    52.245  -169.910   -0.0   -0.0    0.0
    52.245  -169.910   -0.0   -0.0    0.0
    52.245  -169.910   -0.0   -0.0    0.0
    52.245  -169.910   -0.0   -0.0    0.0
    52.245  -169.910   -0.0   -0.0    0.0
    52.245  -169.910   -0.0   -0.0    0.0
    52.245  -169.910   -0.0   -0.0    0.0
    52.245  -169.910   -0.0   -0.0    0.0
    52.245  -169.910   -0.0   -0.0    0.0
    52.245  -169.910   -0.0   -0.0    0.0
    52.245  -169.910   -0.0   -0.0    0.0
    52.245  -169.910   -0.0   -0.0    0.0
    52.245  -169.910   -0.0   -0.0    0.0
    52.245  -169.910   -0.0   -0.0    0.0
    52.245  -169.910   -0.0   -0.0    0.0
    52.245  -169.910   -0.0   -0.0    0.0
    52.245  -169.910   -0.0   -0.0    0.0
    52.245  -169.910   -0.0   -0.0    0.0
    52.245  -169.910   -0.0   -0.0    0.0
    52.245  -169.910   -0.0   -0.0    0.0
    52.245  -169.910   -0.0   -0.0    0.0
    52.245  -169.910   -0.0   -0.0    0.0
    52.245  -169.910   -0.0   -0.0    0.0
    52.245  -169.910   -0.0   -0.0    0.0
    52.245  -169.910   -0.0   -0.0    0.0
    52.245  -169.910   -0.0   -0.0    0.0
    52.245  -169.910   -0.0   -0.0    0.0
    52.245  -169.910   -0.0   -0.0    0.0
    52.245  -169.910   -0.0   -0.0    0.0
    52.245  -169.910   -0.0   -0.0    0.0
    52.245  -169.910   -0.0   -0.0    0.0
    52.245  -169.910   -0.0   -0.0    0.0
    52.245  -169.910   -0.0   -0.0    0.0
    52.245  -169.910   -0.0   -0.0    0.0
    52.245  -169.910   -0.0   -0.0    0.0
    52.245  -169.910   -0.0   -0.0    0.0
    52.245  -169.910   -0.0   -0.0    0.0
    52.245  -169.910   -0.0   -0.0    0.0
    52.245  -169.910   -0.0   -0.0    0.0
    52.245  -169.910   -0.0   -0.0    0.0
    52.245  -169.910   -0.0   -0.0    0.0
    52.245  -169.910   -0.0   -0.0    0.0
    52.245  -169.910   -0.0   -0.0    0.0
    52.245  -169.910   -0.0   -0.0    0.0
    52.245  -169.910   -0.0   -0.0    0.0
    52.245  -169.910   -0.0   -0.0    0.0
    52.245  -169.910   -0.0   -0.0    0.0
    52.245  -169.910   -0.0   -0.0    0.0
    52.245  -169.910   -0.0   -0.0    0.0
    52.245  -169.910   -0.0   -0.0    0.0
    52.245  -169.910   -0.0   -0.0    0.0
