 Lat    Lon    Disp_x_East(cm)   Disp_y_North(cm)   DispUp(cm)
    37.967    19.435    0.8    0.5    0.2
    37.985    19.435    0.8    0.6    0.2
    38.003    19.435    0.9    0.6    0.2
    38.021    19.435    0.9    0.6    0.2
    38.039    19.435    0.9    0.6    0.2
    38.057    19.435    1.0    0.6    0.2
    38.075    19.435    1.0    0.6    0.3
    38.093    19.435    1.0    0.6    0.3
    38.111    19.435    1.0    0.6    0.3
    38.129    19.435    1.1    0.6    0.3
    38.147    19.435    1.1    0.6    0.3
    38.165    19.435    1.1    0.6    0.3
    38.183    19.435    1.1    0.6    0.3
    38.201    19.435    1.2    0.6    0.3
    38.219    19.435    1.2    0.6    0.3
    38.237    19.435    1.2    0.6    0.3
    38.255    19.435    1.2    0.6    0.3
    38.273    19.435    1.2    0.6    0.3
    38.291    19.435    1.3    0.6    0.3
    38.309    19.435    1.3    0.6    0.3
    38.327    19.435    1.3    0.6    0.3
    38.345    19.435    1.3    0.6    0.3
    38.363    19.435    1.3    0.6    0.3
    38.381    19.435    1.3    0.5    0.3
    38.399    19.435    1.3    0.5    0.3
    38.417    19.435    1.3    0.5    0.3
    38.435    19.435    1.2    0.5    0.2
    38.453    19.435    1.2    0.5    0.2
    38.471    19.435    1.2    0.5    0.2
    38.489    19.435    1.2    0.5    0.2
    38.507    19.435    1.2    0.4    0.2
    38.525    19.435    1.1    0.4    0.2
    38.543    19.435    1.1    0.4    0.2
    38.561    19.435    1.1    0.4    0.2
    38.579    19.435    1.0    0.4    0.1
    38.597    19.435    1.0    0.4    0.1
    38.615    19.435    0.9    0.4    0.1
    38.633    19.435    0.9    0.4    0.1
    38.651    19.435    0.8    0.3    0.1
    38.669    19.435    0.8    0.3    0.1
    38.687    19.435    0.7    0.3    0.0
    38.705    19.435    0.7    0.3    0.0
    38.723    19.435    0.6    0.3    0.0
    38.741    19.435    0.6    0.3   -0.0
    38.759    19.435    0.5    0.3   -0.0
    38.777    19.435    0.5    0.3   -0.0
    38.795    19.435    0.4    0.3   -0.1
    38.813    19.435    0.4    0.3   -0.1
    38.831    19.435    0.3    0.3   -0.1
    38.849    19.435    0.3    0.3   -0.1
    38.867    19.435    0.3    0.3   -0.1
    38.885    19.435    0.2    0.3   -0.1
    38.903    19.435    0.2    0.3   -0.1
    38.921    19.435    0.1    0.3   -0.1
    38.939    19.435    0.1    0.3   -0.2
    38.957    19.435    0.1    0.3   -0.2
    38.975    19.435    0.0    0.3   -0.2
    38.993    19.435    0.0    0.3   -0.2
    39.011    19.435   -0.0    0.3   -0.2
    39.029    19.435   -0.0    0.4   -0.2
    39.047    19.435   -0.1    0.4   -0.2
    39.065    19.435   -0.1    0.4   -0.2
    39.083    19.435   -0.1    0.4   -0.2
    39.101    19.435   -0.1    0.4   -0.2
    39.119    19.435   -0.1    0.4   -0.2
    39.137    19.435   -0.1    0.4   -0.2
    39.155    19.435   -0.2    0.4   -0.2
    39.173    19.435   -0.2    0.4   -0.2
    39.191    19.435   -0.2    0.4   -0.2
    39.209    19.435   -0.2    0.4   -0.2
    39.227    19.435   -0.2    0.4   -0.2
    39.245    19.435   -0.2    0.4   -0.2
    39.263    19.435   -0.2    0.4   -0.2
    39.281    19.435   -0.2    0.4   -0.2
    39.299    19.435   -0.2    0.4   -0.2
    39.317    19.435   -0.2    0.4   -0.2
    39.335    19.435   -0.2    0.4   -0.2
    39.353    19.435   -0.2    0.3   -0.2
    39.371    19.435   -0.2    0.3   -0.2
    39.389    19.435   -0.2    0.3   -0.2
    39.407    19.435   -0.2    0.3   -0.2
    39.425    19.435   -0.2    0.3   -0.2
    39.443    19.435   -0.2    0.3   -0.2
    39.461    19.435   -0.2    0.3   -0.2
    39.479    19.435   -0.2    0.3   -0.2
    39.497    19.435   -0.2    0.3   -0.2
