 Lat    Lon    Disp_x_East(cm)   Disp_y_North(cm)   DispUp(cm)
   -47.712   164.833   -0.0   -0.1    0.0
   -47.703   164.833   -0.0   -0.1    0.0
   -47.694   164.833   -0.0   -0.1    0.0
   -47.685   164.833   -0.0   -0.1    0.1
   -47.676   164.833   -0.0   -0.1    0.1
   -47.667   164.833   -0.0   -0.1    0.1
   -47.658   164.833   -0.0   -0.1    0.1
   -47.649   164.833   -0.0   -0.1    0.1
   -47.640   164.833   -0.0   -0.1    0.1
   -47.631   164.833   -0.0   -0.1    0.1
   -47.622   164.833   -0.0   -0.1    0.1
   -47.614   164.833   -0.0   -0.1    0.1
   -47.605   164.833   -0.0   -0.1    0.1
   -47.596   164.833   -0.0   -0.1    0.1
   -47.587   164.833   -0.0   -0.1    0.1
   -47.578   164.833   -0.0   -0.1    0.1
   -47.569   164.833   -0.0   -0.1    0.1
   -47.560   164.833   -0.0   -0.1    0.1
   -47.551   164.833   -0.0   -0.1    0.1
   -47.542   164.833   -0.0   -0.1    0.1
   -47.533   164.833   -0.0   -0.1    0.1
   -47.524   164.833   -0.0   -0.1    0.1
   -47.515   164.833   -0.0   -0.1    0.1
   -47.506   164.833   -0.0   -0.1    0.1
   -47.497   164.833   -0.0   -0.1    0.1
   -47.488   164.833   -0.0   -0.1    0.1
   -47.479   164.833   -0.0   -0.1    0.1
   -47.470   164.833   -0.0   -0.1    0.1
   -47.461   164.833   -0.0   -0.1    0.1
   -47.452   164.833   -0.0   -0.1    0.1
   -47.443   164.833   -0.0   -0.1    0.1
   -47.434   164.833   -0.0   -0.1    0.1
   -47.425   164.833   -0.0   -0.1    0.1
   -47.416   164.833   -0.0   -0.1    0.1
   -47.407   164.833   -0.0   -0.1    0.1
   -47.398   164.833   -0.0   -0.1    0.1
   -47.389   164.833   -0.0   -0.1    0.1
   -47.381   164.833   -0.0   -0.1    0.1
   -47.372   164.833   -0.0   -0.1    0.1
   -47.363   164.833   -0.0   -0.1    0.1
   -47.354   164.833   -0.0   -0.1    0.1
   -47.345   164.833   -0.0   -0.1    0.1
   -47.336   164.833   -0.1   -0.1    0.1
   -47.327   164.833   -0.1   -0.1    0.1
   -47.318   164.833   -0.1   -0.1    0.1
   -47.309   164.833   -0.1   -0.1    0.2
   -47.300   164.833   -0.1   -0.1    0.2
   -47.291   164.833   -0.1   -0.1    0.2
   -47.282   164.833   -0.1   -0.1    0.2
   -47.273   164.833   -0.1   -0.1    0.2
   -47.264   164.833   -0.1   -0.1    0.2
   -47.255   164.833   -0.1   -0.1    0.2
   -47.246   164.833   -0.1   -0.1    0.2
   -47.237   164.833   -0.1   -0.1    0.2
   -47.228   164.833   -0.1   -0.1    0.2
   -47.219   164.833   -0.1   -0.1    0.2
   -47.210   164.833   -0.1   -0.1    0.2
   -47.201   164.833   -0.1   -0.1    0.2
   -47.192   164.833   -0.1   -0.0    0.2
   -47.183   164.833   -0.1   -0.0    0.2
   -47.174   164.833   -0.1   -0.0    0.2
   -47.165   164.833   -0.1   -0.0    0.2
   -47.157   164.833   -0.1   -0.0    0.2
   -47.148   164.833   -0.1   -0.0    0.2
   -47.139   164.833   -0.1   -0.0    0.2
   -47.130   164.833   -0.1   -0.0    0.2
   -47.121   164.833   -0.1   -0.0    0.2
   -47.112   164.833   -0.1   -0.0    0.2
   -47.103   164.833   -0.1   -0.0    0.2
   -47.094   164.833   -0.1   -0.0    0.2
   -47.085   164.833   -0.1   -0.0    0.2
   -47.076   164.833   -0.1   -0.0    0.2
   -47.067   164.833   -0.1    0.0    0.2
   -47.058   164.833   -0.1    0.0    0.2
   -47.049   164.833   -0.1    0.0    0.2
   -47.040   164.833   -0.0    0.0    0.2
   -47.031   164.833   -0.0    0.0    0.1
   -47.022   164.833   -0.0    0.0    0.1
   -47.013   164.833   -0.0    0.0    0.1
   -47.004   164.833   -0.0    0.0    0.1
   -46.995   164.833   -0.0    0.0    0.1
   -46.986   164.833   -0.0    0.0    0.1
   -46.977   164.833   -0.0    0.0    0.1
   -46.968   164.833   -0.0    0.0    0.1
   -46.959   164.833   -0.0    0.0    0.1
   -46.950   164.833   -0.0    0.0    0.1
   -46.941   164.833   -0.0    0.0    0.1
   -46.932   164.833   -0.0    0.0    0.1
   -46.924   164.833   -0.0    0.0    0.1
   -46.915   164.833   -0.0    0.0    0.1
   -46.906   164.833   -0.0    0.0    0.1
   -46.897   164.833   -0.0    0.0    0.1
   -46.888   164.833   -0.0    0.0    0.1
   -46.879   164.833   -0.0    0.0    0.1
   -46.870   164.833   -0.0    0.0    0.1
   -46.861   164.833   -0.0    0.0    0.1
   -46.852   164.833   -0.0    0.0    0.1
   -46.843   164.833   -0.0    0.0    0.1
   -46.834   164.833   -0.0    0.0    0.1
   -46.825   164.833   -0.0    0.0    0.1
   -46.816   164.833   -0.0    0.0    0.1
   -47.712   164.846   -0.0   -0.1    0.0
   -47.703   164.846   -0.0   -0.1    0.0
   -47.694   164.846   -0.0   -0.1    0.0
   -47.685   164.846   -0.0   -0.1    0.1
   -47.676   164.846   -0.0   -0.1    0.1
   -47.667   164.846   -0.0   -0.1    0.1
   -47.658   164.846   -0.0   -0.1    0.1
   -47.649   164.846   -0.0   -0.1    0.1
   -47.640   164.846   -0.0   -0.1    0.1
   -47.631   164.846   -0.0   -0.1    0.1
   -47.622   164.846   -0.0   -0.1    0.1
   -47.614   164.846   -0.0   -0.1    0.1
   -47.605   164.846   -0.0   -0.1    0.1
   -47.596   164.846   -0.0   -0.1    0.1
   -47.587   164.846   -0.0   -0.1    0.1
   -47.578   164.846   -0.0   -0.1    0.1
   -47.569   164.846   -0.0   -0.1    0.1
   -47.560   164.846   -0.0   -0.1    0.1
   -47.551   164.846   -0.0   -0.1    0.1
   -47.542   164.846   -0.0   -0.1    0.1
   -47.533   164.846   -0.0   -0.1    0.1
   -47.524   164.846   -0.0   -0.1    0.1
   -47.515   164.846   -0.0   -0.1    0.1
   -47.506   164.846   -0.0   -0.1    0.1
   -47.497   164.846   -0.0   -0.1    0.1
   -47.488   164.846   -0.0   -0.1    0.1
   -47.479   164.846   -0.0   -0.1    0.1
   -47.470   164.846   -0.0   -0.1    0.1
   -47.461   164.846   -0.0   -0.1    0.1
   -47.452   164.846   -0.0   -0.1    0.1
   -47.443   164.846   -0.0   -0.1    0.1
   -47.434   164.846   -0.0   -0.1    0.1
   -47.425   164.846   -0.0   -0.1    0.1
   -47.416   164.846   -0.0   -0.1    0.1
   -47.407   164.846   -0.0   -0.1    0.1
   -47.398   164.846   -0.0   -0.1    0.1
   -47.389   164.846   -0.0   -0.1    0.1
   -47.381   164.846   -0.0   -0.1    0.1
   -47.372   164.846   -0.0   -0.1    0.1
   -47.363   164.846   -0.0   -0.1    0.1
   -47.354   164.846   -0.0   -0.1    0.1
   -47.345   164.846   -0.1   -0.1    0.1
   -47.336   164.846   -0.1   -0.1    0.1
   -47.327   164.846   -0.1   -0.1    0.2
   -47.318   164.846   -0.1   -0.1    0.2
   -47.309   164.846   -0.1   -0.1    0.2
   -47.300   164.846   -0.1   -0.1    0.2
   -47.291   164.846   -0.1   -0.1    0.2
   -47.282   164.846   -0.1   -0.1    0.2
   -47.273   164.846   -0.1   -0.1    0.2
   -47.264   164.846   -0.1   -0.1    0.2
   -47.255   164.846   -0.1   -0.1    0.2
   -47.246   164.846   -0.1   -0.1    0.2
   -47.237   164.846   -0.1   -0.1    0.2
   -47.228   164.846   -0.1   -0.1    0.2
   -47.219   164.846   -0.1   -0.1    0.2
   -47.210   164.846   -0.1   -0.1    0.2
   -47.201   164.846   -0.1   -0.1    0.2
   -47.192   164.846   -0.1   -0.1    0.2
   -47.183   164.846   -0.1   -0.0    0.2
   -47.174   164.846   -0.1   -0.0    0.2
   -47.165   164.846   -0.1   -0.0    0.2
   -47.157   164.846   -0.1   -0.0    0.2
   -47.148   164.846   -0.1   -0.0    0.2
   -47.139   164.846   -0.1   -0.0    0.2
   -47.130   164.846   -0.1   -0.0    0.2
   -47.121   164.846   -0.1   -0.0    0.2
   -47.112   164.846   -0.1   -0.0    0.2
   -47.103   164.846   -0.1   -0.0    0.2
   -47.094   164.846   -0.1   -0.0    0.2
   -47.085   164.846   -0.1   -0.0    0.2
   -47.076   164.846   -0.1   -0.0    0.2
   -47.067   164.846   -0.1    0.0    0.2
   -47.058   164.846   -0.1    0.0    0.2
   -47.049   164.846   -0.1    0.0    0.2
   -47.040   164.846   -0.1    0.0    0.2
   -47.031   164.846   -0.0    0.0    0.2
   -47.022   164.846   -0.0    0.0    0.2
   -47.013   164.846   -0.0    0.0    0.1
   -47.004   164.846   -0.0    0.0    0.1
   -46.995   164.846   -0.0    0.0    0.1
   -46.986   164.846   -0.0    0.0    0.1
   -46.977   164.846   -0.0    0.0    0.1
   -46.968   164.846   -0.0    0.0    0.1
   -46.959   164.846   -0.0    0.0    0.1
   -46.950   164.846   -0.0    0.0    0.1
   -46.941   164.846   -0.0    0.0    0.1
   -46.932   164.846   -0.0    0.0    0.1
   -46.924   164.846   -0.0    0.0    0.1
   -46.915   164.846   -0.0    0.0    0.1
   -46.906   164.846   -0.0    0.0    0.1
   -46.897   164.846   -0.0    0.0    0.1
   -46.888   164.846   -0.0    0.0    0.1
   -46.879   164.846   -0.0    0.0    0.1
   -46.870   164.846   -0.0    0.0    0.1
   -46.861   164.846   -0.0    0.0    0.1
   -46.852   164.846   -0.0    0.0    0.1
   -46.843   164.846   -0.0    0.0    0.1
   -46.834   164.846   -0.0    0.0    0.1
   -46.825   164.846   -0.0    0.0    0.1
   -46.816   164.846   -0.0    0.0    0.1
   -47.712   164.859   -0.0   -0.1    0.0
   -47.703   164.859   -0.0   -0.1    0.0
   -47.694   164.859   -0.0   -0.1    0.1
   -47.685   164.859   -0.0   -0.1    0.1
   -47.676   164.859   -0.0   -0.1    0.1
   -47.667   164.859   -0.0   -0.1    0.1
   -47.658   164.859   -0.0   -0.1    0.1
   -47.649   164.859   -0.0   -0.1    0.1
   -47.640   164.859   -0.0   -0.1    0.1
   -47.631   164.859   -0.0   -0.1    0.1
   -47.622   164.859   -0.0   -0.1    0.1
   -47.614   164.859   -0.0   -0.1    0.1
   -47.605   164.859   -0.0   -0.1    0.1
   -47.596   164.859   -0.0   -0.1    0.1
   -47.587   164.859   -0.0   -0.1    0.1
   -47.578   164.859   -0.0   -0.1    0.1
   -47.569   164.859   -0.0   -0.1    0.1
   -47.560   164.859   -0.0   -0.1    0.1
   -47.551   164.859   -0.0   -0.1    0.1
   -47.542   164.859   -0.0   -0.1    0.1
   -47.533   164.859   -0.0   -0.1    0.1
   -47.524   164.859   -0.0   -0.1    0.1
   -47.515   164.859   -0.0   -0.1    0.1
   -47.506   164.859   -0.0   -0.1    0.1
   -47.497   164.859   -0.0   -0.1    0.1
   -47.488   164.859   -0.0   -0.1    0.1
   -47.479   164.859   -0.0   -0.1    0.1
   -47.470   164.859   -0.0   -0.1    0.1
   -47.461   164.859   -0.0   -0.1    0.1
   -47.452   164.859   -0.0   -0.1    0.1
   -47.443   164.859   -0.0   -0.1    0.1
   -47.434   164.859   -0.0   -0.1    0.1
   -47.425   164.859   -0.0   -0.1    0.1
   -47.416   164.859   -0.0   -0.1    0.1
   -47.407   164.859   -0.0   -0.1    0.1
   -47.398   164.859   -0.0   -0.1    0.1
   -47.389   164.859   -0.0   -0.1    0.1
   -47.381   164.859   -0.0   -0.1    0.1
   -47.372   164.859   -0.0   -0.1    0.1
   -47.363   164.859   -0.1   -0.1    0.1
   -47.354   164.859   -0.1   -0.1    0.1
   -47.345   164.859   -0.1   -0.1    0.2
   -47.336   164.859   -0.1   -0.1    0.2
   -47.327   164.859   -0.1   -0.1    0.2
   -47.318   164.859   -0.1   -0.1    0.2
   -47.309   164.859   -0.1   -0.1    0.2
   -47.300   164.859   -0.1   -0.1    0.2
   -47.291   164.859   -0.1   -0.1    0.2
   -47.282   164.859   -0.1   -0.1    0.2
   -47.273   164.859   -0.1   -0.1    0.2
   -47.264   164.859   -0.1   -0.1    0.2
   -47.255   164.859   -0.1   -0.1    0.2
   -47.246   164.859   -0.1   -0.1    0.2
