 Lat    Lon    Disp_x_East(cm)   Disp_y_North(cm)   DispUp(cm)
    42.169    12.150   -0.4   -0.3   -0.1
    42.187    12.150   -0.4   -0.3   -0.1
    42.205    12.150   -0.5   -0.3   -0.1
    42.223    12.150   -0.5   -0.3   -0.1
    42.241    12.150   -0.5   -0.3   -0.1
    42.259    12.150   -0.5   -0.3   -0.1
    42.277    12.150   -0.5   -0.3   -0.1
    42.295    12.150   -0.5   -0.3   -0.1
    42.313    12.150   -0.5   -0.3   -0.1
    42.331    12.150   -0.6   -0.3   -0.1
    42.349    12.150   -0.6   -0.3   -0.1
    42.367    12.150   -0.6   -0.4   -0.1
    42.385    12.150   -0.6   -0.4   -0.1
    42.403    12.150   -0.6   -0.4   -0.1
    42.421    12.150   -0.6   -0.4   -0.1
    42.439    12.150   -0.7   -0.4   -0.1
    42.457    12.150   -0.7   -0.4   -0.1
    42.475    12.150   -0.7   -0.4   -0.1
    42.493    12.150   -0.7   -0.3   -0.1
    42.511    12.150   -0.7   -0.3   -0.1
    42.529    12.150   -0.7   -0.3   -0.1
    42.547    12.150   -0.7   -0.3   -0.1
    42.565    12.150   -0.8   -0.3   -0.1
    42.583    12.150   -0.8   -0.3   -0.1
    42.601    12.150   -0.8   -0.3   -0.1
    42.619    12.150   -0.8   -0.3   -0.1
    42.637    12.150   -0.8   -0.3   -0.1
    42.655    12.150   -0.8   -0.3   -0.1
    42.673    12.150   -0.8   -0.3   -0.1
    42.691    12.150   -0.8   -0.3   -0.1
    42.709    12.150   -0.8   -0.3   -0.1
    42.727    12.150   -0.8   -0.3   -0.1
    42.745    12.150   -0.8   -0.2   -0.1
    42.763    12.150   -0.8   -0.2   -0.1
    42.781    12.150   -0.8   -0.2   -0.0
    42.799    12.150   -0.8   -0.2   -0.0
    42.817    12.150   -0.8   -0.2   -0.0
    42.835    12.150   -0.8   -0.2   -0.0
    42.853    12.150   -0.7   -0.2   -0.0
    42.871    12.150   -0.7   -0.2   -0.0
    42.889    12.150   -0.7   -0.1   -0.0
    42.907    12.150   -0.7   -0.1   -0.0
    42.925    12.150   -0.7   -0.1   -0.0
