 Lat    Lon    Disp_x_East(cm)   Disp_y_North(cm)   DispUp(cm)
    40.437    27.650   -0.2   -0.3   -0.0
    40.446    27.650   -0.2   -0.3   -0.0
    40.455    27.650   -0.2   -0.3   -0.0
    40.464    27.650   -0.2   -0.3   -0.0
    40.473    27.650   -0.2   -0.3   -0.0
    40.482    27.650   -0.2   -0.3   -0.0
    40.491    27.650   -0.2   -0.3   -0.0
    40.500    27.650   -0.3   -0.3   -0.0
    40.509    27.650   -0.3   -0.3   -0.0
    40.518    27.650   -0.3   -0.3   -0.0
    40.527    27.650   -0.3   -0.3   -0.0
    40.536    27.650   -0.3   -0.3   -0.0
    40.545    27.650   -0.3   -0.3   -0.0
    40.554    27.650   -0.3   -0.3   -0.0
    40.563    27.650   -0.3   -0.3   -0.0
    40.572    27.650   -0.3   -0.3   -0.0
    40.581    27.650   -0.3   -0.3   -0.0
    40.590    27.650   -0.3   -0.3   -0.0
    40.599    27.650   -0.3   -0.3   -0.0
    40.608    27.650   -0.3   -0.3   -0.0
    40.617    27.650   -0.3   -0.3   -0.0
    40.626    27.650   -0.3   -0.3   -0.0
    40.635    27.650   -0.3   -0.3   -0.0
    40.644    27.650   -0.3   -0.3   -0.0
    40.653    27.650   -0.3   -0.3   -0.0
    40.662    27.650   -0.3   -0.3   -0.0
    40.671    27.650   -0.3   -0.3   -0.0
    40.680    27.650   -0.3   -0.3   -0.0
    40.689    27.650   -0.3   -0.3   -0.0
    40.698    27.650   -0.3   -0.3   -0.0
    40.707    27.650   -0.3   -0.3    0.0
    40.716    27.650   -0.3   -0.3    0.0
    40.725    27.650   -0.2   -0.3    0.0
    40.734    27.650   -0.2   -0.3    0.0
    40.743    27.650   -0.2   -0.2    0.0
    40.752    27.650   -0.2   -0.2    0.0
    40.761    27.650   -0.2   -0.2    0.0
    40.770    27.650   -0.2   -0.2    0.0
    40.779    27.650   -0.2   -0.2    0.0
    40.788    27.650   -0.2   -0.2    0.0
    40.797    27.650   -0.1   -0.2    0.0
    40.806    27.650   -0.1   -0.2    0.0
    40.815    27.650   -0.1   -0.2    0.0
    40.824    27.650   -0.1   -0.2    0.0
    40.833    27.650   -0.1   -0.2    0.1
    40.842    27.650   -0.0   -0.2    0.1
    40.851    27.650   -0.0   -0.2    0.1
    40.860    27.650   -0.0   -0.2    0.1
    40.869    27.650    0.0   -0.2    0.1
    40.878    27.650    0.0   -0.2    0.1
    40.887    27.650    0.1   -0.2    0.1
    40.896    27.650    0.1   -0.2    0.1
    40.905    27.650    0.1   -0.2    0.1
    40.914    27.650    0.1   -0.2    0.1
    40.923    27.650    0.1   -0.2    0.1
    40.932    27.650    0.1   -0.2    0.1
    40.941    27.650    0.2   -0.2    0.1
    40.950    27.650    0.2   -0.2    0.1
    40.959    27.650    0.2   -0.2    0.1
    40.968    27.650    0.2   -0.2    0.1
    40.977    27.650    0.2   -0.2    0.1
    40.986    27.650    0.2   -0.2    0.1
    40.995    27.650    0.2   -0.2    0.1
    41.004    27.650    0.3   -0.2    0.1
    41.013    27.650    0.3   -0.2    0.1
    41.022    27.650    0.3   -0.2    0.1
    41.031    27.650    0.3   -0.2    0.1
    41.040    27.650    0.3   -0.2    0.1
    41.049    27.650    0.3   -0.2    0.1
    41.058    27.650    0.3   -0.2    0.1
    41.067    27.650    0.3   -0.2    0.1
    41.076    27.650    0.3   -0.2    0.1
    41.085    27.650    0.3   -0.2    0.1
    41.094    27.650    0.3   -0.2    0.1
    41.103    27.650    0.3   -0.2    0.1
    41.112    27.650    0.3   -0.2    0.1
    41.121    27.650    0.3   -0.2    0.1
    41.130    27.650    0.3   -0.2    0.1
    41.139    27.650    0.3   -0.2    0.1
    41.148    27.650    0.3   -0.2    0.1
    41.157    27.650    0.3   -0.2    0.1
    41.166    27.650    0.3   -0.2    0.1
    41.175    27.650    0.3   -0.2    0.1
    41.184    27.650    0.3   -0.2    0.1
    41.193    27.650    0.3   -0.2    0.1
    41.202    27.650    0.3   -0.2    0.1
    41.211    27.650    0.3   -0.2    0.1
    41.220    27.650    0.3   -0.2    0.1
    41.229    27.650    0.3   -0.2    0.1
    41.238    27.650    0.3   -0.2    0.1
    41.247    27.650    0.2   -0.2    0.1
    41.256    27.650    0.2   -0.2    0.1
    41.265    27.650    0.2   -0.2    0.1
    41.274    27.650    0.2   -0.2    0.0
    41.283    27.650    0.2   -0.2    0.0
    41.292    27.650    0.2   -0.2    0.0
    41.301    27.650    0.2   -0.2    0.0
    41.310    27.650    0.2   -0.2    0.0
    41.319    27.650    0.2   -0.2    0.0
    41.328    27.650    0.2   -0.2    0.0
    41.337    27.650    0.2   -0.2    0.0
    40.437    27.662   -0.2   -0.3   -0.0
    40.446    27.662   -0.2   -0.3   -0.0
    40.455    27.662   -0.2   -0.3   -0.0
    40.464    27.662   -0.2   -0.3   -0.0
    40.473    27.662   -0.2   -0.3   -0.0
    40.482    27.662   -0.2   -0.3   -0.0
    40.491    27.662   -0.3   -0.3   -0.0
    40.500    27.662   -0.3   -0.3   -0.0
    40.509    27.662   -0.3   -0.3   -0.0
    40.518    27.662   -0.3   -0.3   -0.0
    40.527    27.662   -0.3   -0.3   -0.0
    40.536    27.662   -0.3   -0.3   -0.0
    40.545    27.662   -0.3   -0.3   -0.0
    40.554    27.662   -0.3   -0.3   -0.0
    40.563    27.662   -0.3   -0.3   -0.0
    40.572    27.662   -0.3   -0.3   -0.0
    40.581    27.662   -0.3   -0.3   -0.0
    40.590    27.662   -0.3   -0.3   -0.0
    40.599    27.662   -0.3   -0.3   -0.0
    40.608    27.662   -0.3   -0.3   -0.0
    40.617    27.662   -0.3   -0.3   -0.0
    40.626    27.662   -0.3   -0.3   -0.0
    40.635    27.662   -0.3   -0.3   -0.0
    40.644    27.662   -0.3   -0.3   -0.0
    40.653    27.662   -0.3   -0.3   -0.0
    40.662    27.662   -0.3   -0.3   -0.0
    40.671    27.662   -0.3   -0.3   -0.0
    40.680    27.662   -0.3   -0.3   -0.0
    40.689    27.662   -0.3   -0.3   -0.0
    40.698    27.662   -0.3   -0.3   -0.0
    40.707    27.662   -0.3   -0.3    0.0
    40.716    27.662   -0.3   -0.3    0.0
    40.725    27.662   -0.3   -0.3    0.0
    40.734    27.662   -0.3   -0.3    0.0
    40.743    27.662   -0.2   -0.3    0.0
    40.752    27.662   -0.2   -0.3    0.0
    40.761    27.662   -0.2   -0.3    0.0
    40.770    27.662   -0.2   -0.2    0.0
    40.779    27.662   -0.2   -0.2    0.0
    40.788    27.662   -0.2   -0.2    0.0
    40.797    27.662   -0.1   -0.2    0.0
    40.806    27.662   -0.1   -0.2    0.0
    40.815    27.662   -0.1   -0.2    0.0
    40.824    27.662   -0.1   -0.2    0.1
    40.833    27.662   -0.1   -0.2    0.1
    40.842    27.662   -0.1   -0.2    0.1
    40.851    27.662   -0.0   -0.2    0.1
    40.860    27.662   -0.0   -0.2    0.1
    40.869    27.662    0.0   -0.2    0.1
    40.878    27.662    0.0   -0.2    0.1
    40.887    27.662    0.1   -0.2    0.1
    40.896    27.662    0.1   -0.2    0.1
    40.905    27.662    0.1   -0.2    0.1
    40.914    27.662    0.1   -0.2    0.1
    40.923    27.662    0.1   -0.2    0.1
    40.932    27.662    0.1   -0.2    0.1
    40.941    27.662    0.2   -0.2    0.1
    40.950    27.662    0.2   -0.2    0.1
    40.959    27.662    0.2   -0.2    0.1
    40.968    27.662    0.2   -0.2    0.1
    40.977    27.662    0.2   -0.2    0.1
    40.986    27.662    0.2   -0.2    0.1
    40.995    27.662    0.3   -0.2    0.1
    41.004    27.662    0.3   -0.2    0.1
    41.013    27.662    0.3   -0.2    0.1
    41.022    27.662    0.3   -0.2    0.1
    41.031    27.662    0.3   -0.2    0.1
    41.040    27.662    0.3   -0.2    0.1
    41.049    27.662    0.3   -0.2    0.1
    41.058    27.662    0.3   -0.2    0.1
    41.067    27.662    0.3   -0.2    0.1
    41.076    27.662    0.3   -0.2    0.1
    41.085    27.662    0.3   -0.2    0.1
    41.094    27.662    0.3   -0.2    0.1
    41.103    27.662    0.3   -0.2    0.1
    41.112    27.662    0.3   -0.2    0.1
    41.121    27.662    0.3   -0.2    0.1
    41.130    27.662    0.3   -0.2    0.1
    41.139    27.662    0.3   -0.2    0.1
    41.148    27.662    0.3   -0.2    0.1
    41.157    27.662    0.3   -0.2    0.1
    41.166    27.662    0.3   -0.2    0.1
    41.175    27.662    0.3   -0.2    0.1
    41.184    27.662    0.3   -0.2    0.1
    41.193    27.662    0.3   -0.2    0.1
    41.202    27.662    0.3   -0.2    0.1
    41.211    27.662    0.3   -0.2    0.1
    41.220    27.662    0.3   -0.2    0.1
    41.229    27.662    0.3   -0.2    0.1
    41.238    27.662    0.3   -0.2    0.1
    41.247    27.662    0.3   -0.2    0.1
    41.256    27.662    0.2   -0.2    0.1
    41.265    27.662    0.2   -0.2    0.0
    41.274    27.662    0.2   -0.2    0.0
    41.283    27.662    0.2   -0.2    0.0
    41.292    27.662    0.2   -0.2    0.0
    41.301    27.662    0.2   -0.2    0.0
    41.310    27.662    0.2   -0.2    0.0
    41.319    27.662    0.2   -0.2    0.0
    41.328    27.662    0.2   -0.2    0.0
    41.337    27.662    0.2   -0.2    0.0
    40.437    27.674   -0.2   -0.3   -0.0
    40.446    27.674   -0.2   -0.3   -0.0
    40.455    27.674   -0.2   -0.3   -0.0
    40.464    27.674   -0.2   -0.3   -0.0
    40.473    27.674   -0.2   -0.3   -0.0
    40.482    27.674   -0.3   -0.3   -0.0
    40.491    27.674   -0.3   -0.3   -0.0
    40.500    27.674   -0.3   -0.3   -0.0
    40.509    27.674   -0.3   -0.3   -0.0
    40.518    27.674   -0.3   -0.3   -0.0
    40.527    27.674   -0.3   -0.3   -0.0
    40.536    27.674   -0.3   -0.3   -0.0
    40.545    27.674   -0.3   -0.3   -0.0
    40.554    27.674   -0.3   -0.3   -0.0
    40.563    27.674   -0.3   -0.3   -0.0
    40.572    27.674   -0.3   -0.3   -0.0
    40.581    27.674   -0.3   -0.3   -0.0
    40.590    27.674   -0.3   -0.3   -0.0
    40.599    27.674   -0.3   -0.3   -0.0
    40.608    27.674   -0.3   -0.3   -0.0
    40.617    27.674   -0.3   -0.3   -0.0
    40.626    27.674   -0.3   -0.3   -0.0
    40.635    27.674   -0.3   -0.3   -0.0
    40.644    27.674   -0.3   -0.3   -0.0
    40.653    27.674   -0.3   -0.3   -0.0
    40.662    27.674   -0.3   -0.3   -0.0
    40.671    27.674   -0.3   -0.3   -0.0
    40.680    27.674   -0.3   -0.3   -0.0
    40.689    27.674   -0.3   -0.3   -0.0
    40.698    27.674   -0.3   -0.3    0.0
    40.707    27.674   -0.3   -0.3    0.0
